timestamp,raw_gesture,raw_conf,stable_gesture,stable_ratio
2026-04-23 19:24:02,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:03,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:04,NONE,0.00,NONE,1.00
2026-04-23 19:24:05,NONE,0.00,NONE,1.00
2026-04-23 19:24:05,NONE,0.00,NONE,1.00
2026-04-23 19:24:05,NONE,0.00,NONE,1.00
2026-04-23 19:24:05,NONE,0.00,NONE,1.00
